Maria Heloísa Aalling,https://www.fashionmodeldirectory.com/models/maria+helo%c3%adsa_aalling/,Brazilian,February 16 1991,175.0,79.0,61.0,87.0
Lise Aanes,https://www.fashionmodeldirectory.com/models/lise_aanes/,Norwegian,June 17,175.0,79.0,60.0,88.0
Toma Aardenburg,https://www.fashionmodeldirectory.com/models/toma_aardenburg/,Belgian,NA,186.0,93.0,78.0,93.0
Elise Aarnink,https://www.fashionmodeldirectory.com/models/elise_aarnink/,Dutch,NA,175.0,80.0,63.0,86.0
Lottie Aaron,https://www.fashionmodeldirectory.com/models/lottie_aaron/,Australian,NA,180.0,81.0,59.0,87.0
Cathrin Aarstad,https://www.fashionmodeldirectory.com/models/cathrin_aarstad/,Norwegian,1991,177.0,81.0,58.0,88.0
Katlin Aas,https://www.fashionmodeldirectory.com/models/katlin_aas/,Estonian,"December 26, 1992",178.0,83.0,60.0,88.0
Frida Aasen,https://www.fashionmodeldirectory.com/models/frida_aasen/,Norwegian,"December 5, 1995",177.0,81.0,61.0,87.0
Adriana Abascal,https://www.fashionmodeldirectory.com/models/adriana_abascal/,Mexican,1970,175.0,86.0,64.0,91.0
Noa Abbenhuis,https://www.fashionmodeldirectory.com/models/noa_abbenhuis/,Dutch,"21th July, 1999",179.0,82.0,67.0,87.0
Rosita Abbink,https://www.fashionmodeldirectory.com/models/rosita_abbink/,Dutch,16 May 1982,174.0,86.5,61.0,89.0
Sian Abbott,https://www.fashionmodeldirectory.com/models/sian_abbott/,British (English),"November 4, 1987",175.5,86.5,61.0,86.5
Ugbad Abdi,https://www.fashionmodeldirectory.com/models/ugbad_abdi/,Somalian,NA,180.0,74.0,63.0,89.0
Abas Abdirazaq,https://www.fashionmodeldirectory.com/models/abas_abdirazaq/,Somalian,NA,190.0,86.0,71.0,92.0
Bibi Abdulkadir,https://www.fashionmodeldirectory.com/models/bibi_abdulkadir/,British (English),NA,175.0,75.0,59.0,86.0
Nadah Abdulle,https://www.fashionmodeldirectory.com/models/nadah_abdulle/,British (English),NA,179.0,79.0,56.0,89.0
Maryam Abdullina,https://www.fashionmodeldirectory.com/models/maryam_abdullina/,Uzbekistani,December 6 1985,180.0,86.5,61.0,89.0
Iman Abdulmajid,https://www.fashionmodeldirectory.com/models/iman_abdulmajid/,Somalian,July 25 1955,178.0,86.5,71.0,101.0
Roza Abdurazakova,https://www.fashionmodeldirectory.com/models/roza_abdurazakova/,Uzbekistani,NA,177.0,85.0,61.0,86.0
Auguste Abeliunaite,https://www.fashionmodeldirectory.com/models/auguste_abeliunaite/,Lithuanian,August 3 1994,178.0,84.0,59.0,87.0
Sita Abellan,https://www.fashionmodeldirectory.com/models/sita_abellan/,Spanish,NA,175.0,79.0,60.0,88.0
Klara Abelova,https://www.fashionmodeldirectory.com/models/klara_abelova/,Slovakian,NA,180.0,87.0,61.0,89.0
Roos Abels,https://www.fashionmodeldirectory.com/models/roos_abels/,Dutch,23 September 1999,180.0,83.0,60.0,89.0
Moa Aberg,https://www.fashionmodeldirectory.com/models/moa_aberg/,Swedish,1996,175.0,79.0,56.0,86.0
Noemie Abigail,https://www.fashionmodeldirectory.com/models/noemie_abigail/,French,NA,181.0,79.0,58.0,88.0
Yomi Abiola,https://www.fashionmodeldirectory.com/models/yomi_abiola/,Nigerian,NA,175.0,81.0,58.5,88.0
Eniola Abioro,https://www.fashionmodeldirectory.com/models/eniola_abioro/,Nigerian,NA,177.0,78.0,56.0,86.0
Amam Abit,https://www.fashionmodeldirectory.com/models/amam_abit/,Sudanese,NA,177.0,75.0,61.0,85.0
Akbota Abkenova,https://www.fashionmodeldirectory.com/models/akbota_abkenova/,Kazakhstani,NA,178.0,85.0,60.0,89.0
Maiken Abma,https://www.fashionmodeldirectory.com/models/maiken_abma/,Dutch,NA,178.0,81.0,60.0,90.0
Sarah Abney,https://www.fashionmodeldirectory.com/models/sarah_abney/,American,NA,180.0,80.0,60.0,87.5
Adwoa Aboah,https://www.fashionmodeldirectory.com/models/adwoa_aboah/,British (English),May 18th 1992,173.0,81.0,62.0,89.0
Kesewa Aboah,https://www.fashionmodeldirectory.com/models/kesewa_aboah/,British (English),NA,178.0,86.0,66.0,92.0
Mehdi Abouzaid,https://www.fashionmodeldirectory.com/models/mehdi_abouzaid/,Moroccan,NA,183.0,87.6,68.6,88.9
Lera Abova,https://www.fashionmodeldirectory.com/models/lera_abova/,Russian,NA,175.0,81.0,61.0,89.0
Tatiana Abracos,https://www.fashionmodeldirectory.com/models/tatiana_abracos/,Brazilian,NA,180.0,81.0,63.5,91.5
Adrienne Ábrahám,https://www.fashionmodeldirectory.com/models/adrienne_%c3%81brah%c3%a1m/,Hungarian,NA,176.0,86.0,58.0,89.0
Maga Abramoff,https://www.fashionmodeldirectory.com/models/maga_abramoff/,Argentinian,NA,177.0,81.0,59.0,89.0
Lera Abramova,https://www.fashionmodeldirectory.com/models/lera_abramova/,Russian,NA,175.0,83.0,59.0,90.0
Nastya Abramova,https://www.fashionmodeldirectory.com/models/nastya_abramova/,Ukrainian,NA,177.0,83.0,60.0,89.0
Yannick Abrath,https://www.fashionmodeldirectory.com/models/yannick_abrath/,Belgian,NA,187.0,92.0,71.0,90.0
Andrea Abrego,https://www.fashionmodeldirectory.com/models/andrea_abrego/,Argentinian,NA,178.0,76.0,56.0,84.0
Luma Abreu,https://www.fashionmodeldirectory.com/models/luma_abreu/,Brazilian,NA,177.0,93.0,78.0,114.0
Adiam Abrha,https://www.fashionmodeldirectory.com/models/adiam_abrha/,Swedish,NA,179.0,79.0,58.0,86.0
Megan Abrigo,https://www.fashionmodeldirectory.com/models/megan_abrigo/,American,NA,173.0,87.0,61.0,89.0
Claudie Absolonová,https://www.fashionmodeldirectory.com/models/claudie_absolonov%c3%a1/,Czech,NA,175.0,82.0,60.0,89.0
Nicole Abt,https://www.fashionmodeldirectory.com/models/nicole_abt/,Canadian,NA,178.0,84.0,61.0,88.0
Mohammed Abubakar,https://www.fashionmodeldirectory.com/models/mohammed_abubakar/,Nigerian,NA,185.0,85.0,67.0,88.0
Lucien Abulzahab,https://www.fashionmodeldirectory.com/models/lucien_abulzahab/,German,NA,191.0,92.0,75.0,94.0
Alejandra Aceves,https://www.fashionmodeldirectory.com/models/alejandra_aceves/,Mexican,NA,176.0,83.0,61.0,89.0
Diana Achan,https://www.fashionmodeldirectory.com/models/diana_achan/,Sudanese,NA,180.0,73.0,58.0,85.0
Marthe Achilles,https://www.fashionmodeldirectory.com/models/marthe_achilles/,German,NA,182.0,87.0,64.0,92.0
Levi Achthoven,https://www.fashionmodeldirectory.com/models/levi_achthoven/,Dutch,NA,180.0,75.0,59.0,86.0
Daniela Aciu,https://www.fashionmodeldirectory.com/models/daniela_aciu/,Romanian,NA,182.0,81.0,60.0,86.5
