Maria Heloísa Aalling,https://www.fashionmodeldirectory.com/models/maria+helo%c3%adsa_aalling/,Brazilian,February 16 1991,175.0,79.0,61.0,87.0,34,38,Light brown,Green
Lise Aanes,https://www.fashionmodeldirectory.com/models/lise_aanes/,Norwegian,June 17,175.0,79.0,60.0,88.0,32-34,38,Red,Brown
Toma Aardenburg,https://www.fashionmodeldirectory.com/models/toma_aardenburg/,Belgian,NA,186.0,93.0,78.0,93.0,48,42,Light brown,Green / grey
Elise Aarnink,https://www.fashionmodeldirectory.com/models/elise_aarnink/,Dutch,NA,175.0,80.0,63.0,86.0,34,39,Light brown,Blue / green
Lottie Aaron,https://www.fashionmodeldirectory.com/models/lottie_aaron/,Australian,NA,180.0,81.0,59.0,87.0,34,40,Light brown,Blue
Magnus Aarsaether,https://www.fashionmodeldirectory.com/models/magnus_aarsaether/,Norwegian,NA,189.0,85.0,66.0,90.0,46,45,Brown,Blue / green
Cathrin Aarstad,https://www.fashionmodeldirectory.com/models/cathrin_aarstad/,Norwegian,1991,177.0,81.0,58.0,88.0,33,39,Brown,Blue
Katlin Aas,https://www.fashionmodeldirectory.com/models/katlin_aas/,Estonian,"December 26, 1992",178.0,83.0,60.0,86.0,32-34,39,Dark brown,Green
Frida Aasen,https://www.fashionmodeldirectory.com/models/frida_aasen/,Norwegian,"December 5, 1995",177.0,81.0,61.0,87.0,32,38,Blonde,Blue
Adriana Abascal,https://www.fashionmodeldirectory.com/models/adriana_abascal/,Mexican,1970,175.0,86.0,64.0,91.0,36,39,Light brown,Brown
Noa Abbenhuis,https://www.fashionmodeldirectory.com/models/noa_abbenhuis/,Dutch,"21th July, 1999",179.0,82.0,67.0,87.0,34-36,39,Blonde,Green
Rosita Abbink,https://www.fashionmodeldirectory.com/models/rosita_abbink/,Dutch,16 May 1982,174.0,86.5,61.0,89.0,36,37,Blonde,Blue
Sian Abbott,https://www.fashionmodeldirectory.com/models/sian_abbott/,British (English),"November 4, 1987",175.5,86.5,61.0,86.5,34,38,Brown,Brown
Ugbad Abdi,https://www.fashionmodeldirectory.com/models/ugbad_abdi/,Somalian,NA,180.0,74.0,63.0,89.0,35,40,Black,Dark brown
Abas Abdirazaq,https://www.fashionmodeldirectory.com/models/abas_abdirazaq/,Somalian,NA,190.0,86.0,71.0,92.0,46,46.5,Black,Dark brown
Habsa Abdulkadir,https://www.fashionmodeldirectory.com/models/habsa_abdulkadir/,Danish,NA,173.0,77.0,61.0,87.0,34,39,Dark brown,Brown
Bibi Abdulkadir,https://www.fashionmodeldirectory.com/models/bibi_abdulkadir/,British (English),NA,175.0,75.0,59.0,86.0,34,39,Black,Brown
Nadah Abdulle,https://www.fashionmodeldirectory.com/models/nadah_abdulle/,British (English),NA,179.0,79.0,56.0,87.5,34-36,38.5,Black,Brown
Maryam Abdullina,https://www.fashionmodeldirectory.com/models/maryam_abdullina/,Uzbekistani,December 6 1985,180.0,86.5,61.0,89.0,36,38.5,Brown,Blue / green
Iman Abdulmajid,https://www.fashionmodeldirectory.com/models/iman_abdulmajid/,Somalian,July 25 1955,178.0,86.5,71.0,101.0,36,40,Dark brown,Dark brown
Roza Abdurazakova,https://www.fashionmodeldirectory.com/models/roza_abdurazakova/,Uzbekistani,NA,177.0,85.0,61.0,86.0,32,40,Brown,Brown
Auguste Abeliunaite,https://www.fashionmodeldirectory.com/models/auguste_abeliunaite/,Lithuanian,August 3 1994,178.0,84.0,59.0,87.0,32-34,39,Brown,Blue
Sita Abellan,https://www.fashionmodeldirectory.com/models/sita_abellan/,Spanish,NA,175.0,79.0,60.0,88.0,35,40,Brown,Brown
Klara Abelova,https://www.fashionmodeldirectory.com/models/klara_abelova/,Slovakian,NA,180.0,87.0,61.0,89.0,34-36,40,Blonde,Blue
Roos Abels,https://www.fashionmodeldirectory.com/models/roos_abels/,Dutch,23 September 1999,180.0,83.0,60.0,89.0,32-34,39,Blonde,Blue
Moa Aberg,https://www.fashionmodeldirectory.com/models/moa_aberg/,Swedish,1996,175.0,79.0,56.0,86.0,32-34,39,Brown,Blue
Noemie Abigail,https://www.fashionmodeldirectory.com/models/noemie_abigail/,French,NA,181.0,79.0,58.0,88.0,34-36,40,Brown,Brown
Teo Abihdana,https://www.fashionmodeldirectory.com/models/teo_abihdana/,French,NA,184.0,88.0,69.0,88.0,46,43,Dark brown,Brown
Yomi Abiola,https://www.fashionmodeldirectory.com/models/yomi_abiola/,Nigerian,NA,175.0,81.0,58.5,88.0,36,37,Black,Brown
Eniola Abioro,https://www.fashionmodeldirectory.com/models/eniola_abioro/,Nigerian,NA,177.0,78.0,56.0,86.0,33,40,Black,Brown
Amam Abit,https://www.fashionmodeldirectory.com/models/amam_abit/,Sudanese,NA,177.0,75.0,61.0,85.0,33,40,Black,Black
